slide,start,end,duration,timestamp,voiceover
196,1019.333,1023.867,4.534,16:59.33,There is a dog currently somewhere in the world with a better quality of life than most humans in recorded history and it doesn't know this and it doesn't care because it just found a sock on the floor and the sock is incredibly interesting. We spend more money on pet care than most countries spend on education.
197,1023.867,1031.5,7.633,17:03.87,We develop genuine grief when our dogs die. Grief that neurologically and emotionally resembles grief for human family members because as far as our brains are concerned that's more or less what they are.
198,1031.5,1035.567,4.067,17:11.50,Grief that neurologically and emotionally resembles grief for human family members because as far as our brains are concerned that's more or less what they are.
199,1035.567,1039.733,4.166,17:15.57,Grief that neurologically and emotionally resembles grief for human family members because as far as our brains are concerned that's more or less what they are. We make medical decisions for dogs that we sometimes won't make for ourselves.
200,1039.733,1044.1,4.367,17:19.73,We make medical decisions for dogs that we sometimes won't make for ourselves. We train them talk to them apologize to them ask them how their day was even though we know they can't answer and somehow feel like they understand anyway.
201,1044.1,1047.967,3.867,17:24.10,We train them talk to them apologize to them ask them how their day was even though we know they can't answer and somehow feel like they understand anyway.
202,1047.967,1050.967,3.0,17:27.97,We train them talk to them apologize to them ask them how their day was even though we know they can't answer and somehow feel like they understand anyway. None of this was planned. None of it was intended.
203,1050.967,1058.267,7.3,17:30.97,"None of it was intended. A wolf started eating garbage near a fire got slightly less scared than its siblings had puppies that were slightly less scared than average and 15,000 years later someone is paying 40 for artisanal grain-free salmon-based dog food."
204,1058.267,1065.333,7.066,17:38.27,"A wolf started eating garbage near a fire got slightly less scared than its siblings had puppies that were slightly less scared than average and 15,000 years later someone is paying 40 for artisanal grain-free salmon-based dog food."
205,1065.333,1068.8,3.467,17:45.33,"A wolf started eating garbage near a fire got slightly less scared than its siblings had puppies that were slightly less scared than average and 15,000 years later someone is paying 40 for artisanal grain-free salmon-based dog food. Evolution is patient and it is hilarious."
206,1068.8,1074.867,6.067,17:48.80,Evolution is patient and it is hilarious. But here's the part I want to leave you with because I think it's the genuinely extraordinary thing about this whole story.
207,1074.867,1079.6,4.733,17:54.87,In virtually every other case of animal domestication humans were clearly in charge.
208,1079.6,1084.833,5.233,17:59.60,In virtually every other case of animal domestication humans were clearly in charge. We captured animals. We penned them. We bred them specifically for our own purposes.
209,1084.833,1088.8,3.967,18:04.83,Their meat their milk their labor their hides.
210,1088.8,1095.567,6.767,18:08.80,Their meat their milk their labor their hides. The relationship was largely one-directional. We needed something. They provided it involuntarily.
211,1095.567,1096.767,1.2,18:15.57,They provided it involuntarily. Dogs are different.
212,1096.767,1101.3,4.533,18:16.77,Dogs were from the very beginning participants in their own domestication.
213,1101.3,1104.667,3.367,18:21.30,They approached us. They adapted to us.
214,1104.667,1111.033,6.366,18:24.67,Their brains changed to understand us in ways that remain unique in the entire animal kingdom.
215,1111.033,1119.333,8.3,18:31.03,And we in turn adapted to them neurologically emotionally culturally. We changed too.
216,1119.333,1125.133,5.8,18:39.33,Researchers have found that human populations that had dogs performed better in certain survival contexts.
217,1125.133,1134.067,8.934,18:45.13,Researchers have found that human populations that had dogs performed better in certain survival contexts. Dogs gave warnings. Dogs helped on hunts. Dogs may have contributed to the success of human expansion into new environments.
218,1134.067,1144.533,10.466,18:54.07,Dogs may have contributed to the success of human expansion into new environments. There is a genuine argument not a fringe argument a serious scientific one that the domestication of dogs was a significant factor in human success as a species.
219,1144.533,1149.933,5.4,19:04.53,There is a genuine argument not a fringe argument a serious scientific one that the domestication of dogs was a significant factor in human success as a species. That without dogs the trajectory of human civilization could have been measurably different.
220,1149.933,1152.0,2.067,19:09.93,That without dogs the trajectory of human civilization could have been measurably different. We didn't just create dogs.
221,1152.0,1155.667,3.667,19:12.00,We didn't just create dogs. In some meaningful sense dogs helped create us.
222,1155.667,1160.833,5.166,19:15.67,"That wolf that crept toward the firelight 15,000 years ago looking for scraps wasn't just making a strategic decision about food."
223,1160.833,1164.133,3.3,19:20.83,"That wolf that crept toward the firelight 15,000 years ago looking for scraps wasn't just making a strategic decision about food."
224,1164.133,1170.467,6.334,19:24.13,It was in the very slow and unconscious way that evolution works beginning a partnership that would outlast every empire every language every civilization that has risen and fallen in the time since.
225,1170.467,1178.0,7.533,19:30.47,It was in the very slow and unconscious way that evolution works beginning a partnership that would outlast every empire every language every civilization that has risen and fallen in the time since.
226,1178.0,1187.467,9.467,19:38.00,It was in the very slow and unconscious way that evolution works beginning a partnership that would outlast every empire every language every civilization that has risen and fallen in the time since. A partnership that against all biological logic turned two very different creatures into something that feels to both of them something like family.
227,1187.467,1190.467,3.0,19:47.47,"A partnership that against all biological logic turned two very different creatures into something that feels to both of them something like family. And the next time your dog falls asleep on your feet or stares at you with that absurd yearning expression while you eat dinner or loses its mind with joy at the sound of your keys in the door just remember that is 15,000 years of mutual evolution expressing itself."
228,1190.467,1194.4,3.933,19:50.47,"And the next time your dog falls asleep on your feet or stares at you with that absurd yearning expression while you eat dinner or loses its mind with joy at the sound of your keys in the door just remember that is 15,000 years of mutual evolution expressing itself."
229,1194.4,1198.867,4.467,19:54.40,"And the next time your dog falls asleep on your feet or stares at you with that absurd yearning expression while you eat dinner or loses its mind with joy at the sound of your keys in the door just remember that is 15,000 years of mutual evolution expressing itself."
230,1198.867,1204.833,5.966,19:58.87,"And the next time your dog falls asleep on your feet or stares at you with that absurd yearning expression while you eat dinner or loses its mind with joy at the sound of your keys in the door just remember that is 15,000 years of mutual evolution expressing itself."
231,1204.833,1210.267,5.434,20:04.83,"And the next time your dog falls asleep on your feet or stares at you with that absurd yearning expression while you eat dinner or loses its mind with joy at the sound of your keys in the door just remember that is 15,000 years of mutual evolution expressing itself. That happiness is ancient. That bond was built slowly accidentally and at enormous cost to the rational decision-making of wolves everywhere."
232,1210.267,1214.667,4.4,20:10.27,That bond was built slowly accidentally and at enormous cost to the rational decision-making of wolves everywhere.
233,1214.667,1220.668,6.001,20:14.67,It was worth it for them. And honestly it was worth it for us too.
